Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
Q7Z7L1	Q86SX1	91607		SLFN11	Q86SX1	22939624:0004:HT
Q86SE9	Q96LA8	84333	55170	PCGF5	PRMT6	23455924:0018:HT|23455924:0007:HT|23455924:0004:HT
Q86SE9	Q99496	84333	6045	PCGF5	RNF2	25519132:0007:LC|22493164:0007:HT|24457600:0004:LC|22493164:0004:HT|22493164:0018:HT|22325352:0004:LC|22493164:0397:HT
Q86SG6	Q86SX1	284086		NEK8	Q86SX1	22939624:0004:HT
Q86SX1	Q86UP8		84163	Q86SX1	GTF2IRD2	22939624:0004:HT
Q86SX1	Q86UV6		378108	Q86SX1	TRIM74	22939624:0004:HT
Q86SX1	Q86UV7		375593	Q86SX1	TRIM73	22939624:0004:HT
Q86SX1	Q86UX6		282974	Q86SX1	STK32C	22939624:0004:HT
Q86SX1	Q86V86		415116	Q86SX1	PIM3	22939624:0004:HT
Q86SX1	Q86YV5		157285	Q86SX1	SGK223	22939624:0004:HT
Q86SX1	Q86YV6		340156	Q86SX1	MYLK4	22939624:0004:HT
Q86SX1	Q8IVT5		8844	Q86SX1	KSR1	22939624:0004:HT
Q86SX1	Q8IVU3		55008	Q86SX1	HERC6	22939624:0004:HT
Q86SX1	Q8IYA7		283078	Q86SX1	MKX	22939624:0004:HT
Q86SX1	Q8N165		149420	Q86SX1	PDIK1L	22939624:0004:HT
Q86SX1	Q8N1E6		144699	Q86SX1	FBXL14	22939624:0004:HT
Q86SX1	Q8N239		257240	Q86SX1	KLHL34	22939624:0004:HT
Q86SX1	Q8N4C8		50488	Q86SX1	MINK1	22939624:0004:HT
Q86SX1	Q8N4N3		79786	Q86SX1	KLHL36	22939624:0004:HT
Q86SX1	Q8N568		166614	Q86SX1	DCLK2	22939624:0004:HT
Q86SX1	Q8N5S9		84254	Q86SX1	CAMKK1	22939624:0004:HT
Q86SX1	Q8N5U6		9921	Q86SX1	RNF10	22939624:0004:HT
Q86SX1	Q8N9T1			Q86SX1	Q8N9T1	22939624:0004:HT
Q86SX1	Q8NBE8		151230	Q86SX1	KLHL23	22939624:0004:HT
Q86SX1	Q8NCB2		79012	Q86SX1	CAMKV	22939624:0004:HT
Q86SX1	Q8NDN9		55213	Q86SX1	RCBTB1	22939624:0004:HT
Q86SX1	Q8NE63		147746	Q86SX1	HIPK4	22939624:0004:HT
Q86SX1	Q8NEB1			Q86SX1	Q8NEB1	22939624:0004:HT
Q86SX1	Q8NEE6		222235	Q86SX1	FBXL13	22939624:0004:HT
Q86SX1	Q8NER5		130399	Q86SX1	ACVR1C	22939624:0004:HT
Q86SX1	Q8NFJ4			Q86SX1	Q8NFJ4	22939624:0004:HT
Q86SX1	Q8NFZ0		84893	Q86SX1	FBXO18	22939624:0004:HT
Q86SX1	Q8NG66		79858	Q86SX1	NEK11	22939624:0004:HT
Q86SX1	Q8NI29		126433	Q86SX1	FBXO27	22939624:0004:HT
Q86SX1	Q8TBB1		84708	Q86SX1	LNX1	22939624:0004:HT
Q86SX1	Q8TCJ0		26260	Q86SX1	FBXO25	22939624:0004:HT
Q86SX1	Q8TD08		225689	Q86SX1	MAPK15	22939624:0004:HT
Q86SX1	Q8TD19		91754	Q86SX1	NEK9	22939624:0004:HT
Q86SX1	Q8TEC5		153769	Q86SX1	SH3RF2	22939624:0004:HT
Q86SX1	Q8WTQ7		131890	Q86SX1	GRK7	22939624:0004:HT
Q86SX1	Q8WTW4		10641	Q86SX1	NPRL2	22939624:0004:HT
Q86SX1	Q8WV44		90933	Q86SX1	TRIM41	22939624:0004:HT
Q86SX1	Q8WVZ9		84078	Q86SX1	KBTBD7	22939624:0004:HT
Q86SX1	Q8WXH6		142684	Q86SX1	RAB40A	22939624:0004:HT
Q86SX1	Q8WXJ9		127247	Q86SX1	ASB17	22939624:0004:HT
Q86SX1	Q8WXR4		140469	Q86SX1	MYO3B	22939624:0004:HT
Q86SX1	Q8WY36		56987	Q86SX1	BBX	22939624:0004:HT
Q86SX1	Q8WY91		51078	Q86SX1	THAP4	22939624:0004:HT
Q86SX1	Q8WZ60		89857	Q86SX1	KLHL6	22939624:0004:HT
Q86SX1	Q92615		23185	Q86SX1	LARP4B	22939624:0004:HT
Q86SX1	Q92630		8445	Q86SX1	DYRK2	22939624:0004:HT|19287380:0004:LC
Q86SX1	Q92918		11184	Q86SX1	MAP4K1	22939624:0004:HT
Q86SX1	Q92993		10524	Q86SX1	KAT5	22939624:0004:HT
Q86SX1	Q93034		8065	Q86SX1	CUL5	21145461:0004:LC|19933325:0004:LC
