Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
P23443	Q15831	6198	6794	RPS6KB1	STK11	11297520:0492:LC|25241761:0813:LC|11297520:0493:LC|11853558:0493:LC|11853558:0492:LC
P23443	Q8N122	6198	57521	RPS6KB1	RPTOR	12150926:0004:LC|16183647:0492:LC|12150926:0492:LC|12604610:0492:LC|22493283:0415:LC|15809305:0096:LC|16837165:0004:LC|21071439:0004:LC|23184942:0415:LC|19402821:0415:LC|12604610:0004:LC
P23443	Q9BUZ4	6198	9618	RPS6KB1	TRAF4	12801526:0493:LC|12801526:0024:LC|15657099:0064:LC|12801526:0018:LC|12801526:0004:LC|12801526:0007:LC
P23443	Q9BY77	6198	84271	RPS6KB1	POLDIP3	15341740:0492:LC|15341740:0493:LC|15341740:0018:LC|15341740:0004:LC|15341740:0415:LC|18423201:0007:LC
P23443	Q9HC98	6198	10783	RPS6KB1	NEK6	12023960:0493:LC|11516946:0492:LC|12023960:0492:LC|11516946:0493:LC
P23443	Q9ULJ8	6198	55607	RPS6KB1	PPP1R9A	12052877:0493:LC|12052877:0492:LC|9653190:0018:LC|9653190:0493:LC|9653190:0492:LC|12052877:0018:LC
P23458	P23458	3716	3716	JAK1	JAK1	23659214:0114:LC|9597132:0492:LC|15173123:0423:LC|8041779:0415:LC|22698084:0114:LC|23107482:0114:LC|22591402:0114:LC|24042009:0114:LC|24013208:0114:LC|23642482:0114:LC|8609418:0415:LC|8790359:0423:LC
P23458	P24394	3716	3566	JAK1	IL4R	12242343:0004:LC|12133952:0096:LC|12133952:0493:LC|12133952:0492:LC|12133952:0004:LC|15657099:0064:LC|12223527:0007:LC
P23458	P27986	3716	5295	JAK1	PIK3R1	9774657:0493:LC|15657099:0064:LC
P23458	P29350	3716	5777	JAK1	PTPN6	7629131:0492:LC|7629131:0415:LC|9520455:0492:LC
P23458	P29597	3716	7297	JAK1	TYK2	8702790:0493:LC|7589562:0493:LC|8702790:0492:LC|15657099:0064:LC|7589562:0004:LC|7589562:0024:LC|7589562:0492:LC
P23458	P31785	3716	3561	JAK1	IL2RG	7973658:0493:LC|8041779:0004:LC
P23458	P32927	3716	1439	JAK1	CSF2RB	11557047:0493:LC|21965659:0004:LC
P23458	P35568	3716	3667	JAK1	IRS1	11162588:0493:LC|7499365:0004:LC|11162588:0492:LC|9492017:0415:LC|9233603:0007:LC
P23458	P38398	3716	672	JAK1	BRCA1	11163768:0004:LC|11163768:0019:LC|11163768:0493:LC|15657099:0064:LC
P23458	P40189	3716	3572	JAK1	IL6ST	11742534:0004:LC|11468294:0004:LC|11468294:0493:LC|11742534:0492:LC|11742534:0493:LC|11742534:0024:LC|9388212:0004:LC|21220115:0226:LC|11468294:0096:LC|21220115:0020:LC|9388212:0045:LC|11468294:0492:LC|9388212:0019:LC|21220115:0071:LC|15657099:0064:LC
P23458	P40763	3716	6774	JAK1	STAT3	15284024:0007:LC|10918587:0493:LC|11722592:0024:LC|12626508:0492:LC|8626374:0493:LC|11940572:0492:LC|9566874:0493:LC|11294897:0493:LC|11722592:0004:LC|11751884:0096:LC|25065853:0006:LC|15284024:0004:LC|10918587:0492:LC|12626508:0493:LC|8626374:0492:LC|11464862:0024:LC|11294897:0492:LC|11722592:0493:LC|12244095:0492:LC|11722592:0492:LC|11350938:0492:LC|8272872:0493:LC|15657099:0064:LC|12576423:0492:LC|14551213:0492:LC|11350938:0493:LC|11940572:0493:LC|8272872:0492:LC|9566874:0492:LC|12576423:0493:LC|14551213:0493:LC|12244095:0493:LC
P23458	P42224	3716	6772	JAK1	STAT1	15322115:0493:LC|10918587:0493:LC|14978237:0004:LC|12637327:0493:LC|11294897:0493:LC|7690989:0492:LC|15284024:0007:LC|15284024:0004:LC|10918587:0492:LC|14978237:0007:LC|12637327:0492:LC|11294897:0492:LC|11722592:0493:LC|7543024:0493:LC|15978943:0007:LC|11839738:0492:LC|12817007:0493:LC|11722592:0492:LC|10982844:0492:LC|15657099:0064:LC|7657660:0492:LC|11839738:0493:LC|12817007:0492:LC|15322115:0492:LC|7543024:0492:LC|10982844:0493:LC|7657660:0493:LC|7690989:0493:LC
P23458	P42226	3716	6778	JAK1	STAT6	9651359:0415:LC|10856136:0492:LC
P23458	P42680	3716	100124696	JAK1	TEC	9178903:0493:LC|9178903:0004:LC|15657099:0064:LC|9178903:0024:LC
P23458	P48551	3716	3455	JAK1	IFNAR2	12133952:0096:LC|12133952:0493:LC|16710296:0004:LC|16710296:0007:LC|12960323:0004:LC|16710296:0006:LC|16710296:0096:LC
P23458	P52333	3716	3718	JAK1	JAK3	12207328:0007:LC|12207328:0004:LC|9553136:0492:LC|12559972:0493:LC|9553136:0493:LC|12559972:0492:LC|15657099:0064:LC
P23458	P62993	3716	2885	JAK1	GRB2	11527382:0493:LC|8536716:0493:LC|11527382:0004:LC|15657099:0064:LC|8536716:0254:LC|8536716:0096:LC
P23458	P63244	3716	10399	JAK1	GNB2L1	12960323:0096:LC|12960323:0493:LC|12960323:0004:LC|22558273:0004:LC|12960323:0492:LC
P23458	Q01113	3716	3581	JAK1	IL9R	8756628:0492:LC|8756628:0493:LC|8756628:0024:LC|8756628:0004:LC|8756628:0007:LC|15657099:0064:LC
P23458	Q01344	3716	3568	JAK1	IL5RA	9516124:0492:LC|9516124:0004:LC|15657099:0064:LC
P23458	Q03405	3716	5329	JAK1	PLAUR	9974409:0019:LC|9417082:0004:LC|9974409:0686:LC|15657099:0064:LC|9417082:0493:LC|9417082:0492:LC|9417082:0019:LC
P23458	Q06124	3716	5781	JAK1	PTPN11	8995399:0415:LC|8995399:0024:LC|11036942:0493:LC|15657099:0064:LC|8995399:0493:LC|8995399:0096:LC|12403768:0004:LC|12403768:0493:LC
P23458	Q06187	3716	695	JAK1	BTK	9178903:0493:LC|9178903:0004:LC|15657099:0064:LC|9178903:0024:LC
P23458	Q13651	3716	3587	JAK1	IL10RA	12133952:0004:LC|10433356:0492:LC|12133952:0096:LC|10433356:0493:LC|12133952:0493:LC|12133952:0492:LC|12374810:0024:LC|12374810:0493:LC|15657099:0064:LC|12374810:0492:LC|12374810:0096:LC
P23458	Q14289	3716	2185	JAK1	PTK2B	10702271:0492:LC|10702271:0024:LC|15657099:0064:LC|10702271:0493:LC|10702271:0004:LC
P23458	Q15464	3716	6461	JAK1	SHB	12200137:0096:LC|12200137:0493:LC|15657099:0064:LC
P23458	Q59F04	3716		JAK1	Q59F04	8657151:0492:LC|9484840:0493:LC|9484840:0492:LC|8657151:0493:LC
P23458	Q59F91	3716		JAK1	Q59F91	11909529:0493:LC|15588985:0493:LC|11909529:0492:LC|15588985:0492:LC
P23458	Q59FK4	3716		JAK1	Q59FK4	9774693:0096:LC|12130510:0493:LC
P23458	Q59GY7	3716		JAK1	Q59GY7	9047382:0004:LC|9047382:0018:LC|9047382:0096:LC|11722592:0493:LC
P23458	Q99062	3716	1441	JAK1	CSF3R	7512720:0004:LC|7512720:0492:LC|7512720:0493:LC|7512720:0024:LC|15657099:0064:LC
P23458	Q99650	3716	9180	JAK1	OSMR	10586060:0493:LC|15657099:0064:LC|10586060:0024:LC
P23458	Q9HBE5	3716	50615	JAK1	IL21R	11016959:0007:LC|11016959:0493:LC|11418623:0493:LC|11016959:0004:LC
P23458	Q9Y4H2	3716	8660	JAK1	IRS2	7499365:0004:LC|15657099:0064:LC|7499365:0493:LC|9233603:0007:LC
P23467	P23467	5787	5787	PTPRB	PTPRB	17139078:0114:LC|16759857:0114:LC|19167335:0114:HT|15978577:0045:LC
P23467	P24821	5787	3371	PTPRB	TNC	15657099:0064:LC|11313993:0493:LC|11313993:0024:LC
P23467	P27361	5787	5595	PTPRB	MAPK3	12840032:0434:LC|19167335:0434:HT
P23467	P35222	5787	1499	PTPRB	CTNNB1	19167335:0434:HT|15657099:0064:LC
P23467	P78357	5787	8506	PTPRB	CNTNAP1	15657099:0064:LC|9118959:0493:LC
P23467	Q02763	5787	7010	PTPRB	TEK	19167335:0434:HT|12237455:0081:LC
P23467	Q12860	5787	1272	PTPRB	CNTN1	12700241:0493:LC|9584610:0024:LC|9049255:0096:LC|9584610:0493:LC|9049255:0493:LC|7628014:0493:LC|7628014:0096:LC|15657099:0064:LC
P23467	Q92823	5787	4897	PTPRB	NRCAM	9049255:0096:LC|15657099:0064:LC|9049255:0024:LC|9049255:0493:LC
P23468	P23468	5789	5789	PTPRD	PTPRD	15978577:0045:LC|21454754:0114:LC
P23468	Q13332	5789	5802	PTPRD	PTPRS	9566880:0493:LC|15657099:0064:LC
P23469	P23469	5791	5791	PTPRE	PTPRE	19167335:0114:HT|15978577:0045:LC|10921884:0492:LC
P23469	P27361	5791	5595	PTPRE	MAPK3	12754301:0004:LC|12754301:0492:LC|15588985:0492:LC
P23469	P62993	5791	2885	PTPRE	GRB2	10490839:0493:LC|15657099:0064:LC|10490839:0004:LC
P23469	Q14721	5791	3745	PTPRE	KCNB1	12615930:0492:LC|15657099:0064:LC|10921884:0004:LC|10921884:0096:LC
P23470	P23470	5793	5793	PTPRG	PTPRG	15978577:0045:LC|21882820:0114:LC|19167335:0028:HT|19167335:0114:HT|18058037:0114:LC|19167335:0096:HT
P23470	P35222	5793	1499	PTPRG	CTNNB1	19167335:0434:HT|21112398:0434:LC
P23470	P78352	5793	1742	PTPRG	DLG4	10521598:0492:LC|10521598:0493:LC|10521598:0024:LC|15657099:0064:LC|10521598:0018:LC
P23471	P23471	5803	5803	PTPRZ1	PTPRZ1	20133774:0114:LC|15978577:0045:LC
P23471	P35222	5803	1499	PTPRZ1	CTNNB1	10706604:0024:LC|10706604:0493:LC|15657099:0064:LC|10706604:0004:LC
P23471	Q12860	5803	1272	PTPRZ1	CNTN1	21969550:0096:LC|12700241:0004:LC|21969550:0071:LC|21969550:0114:LC
P23497	P23497	6672	6672	SP100	SP100	25416956:0397:HT|21880768:0018:LC
P23497	P45973	6672	23468	SP100	CBX5	15657099:0064:LC|21516116:0018:HT|9636146:0018:LC
P23497	P61956	6672	6613	SP100	SUMO2	17000644:0493:LC|21988832:0018:HT
